DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,PL,2020,1972.344,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,PL,2021,2238.430,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,PT,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,PT,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,RO,2020,121.789,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,RO,2021,157.543,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,RS,2020,30.654,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,SE,2020,575.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,SE,2021,640.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,SI,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,SI,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,SK,2020,339.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,SK,2021,519.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,TR,2020,1794.319,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,UA,2020,1408.800,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,XK,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,AL,2020,0.000,
